Locus_tag	Gene product (predicted)	Batch culture 1	Batch culture 2	standard deviation	Unlimited bioreactor 1	Unlimited bioreactor 2	standard deviation
MBURv2_160313	3-hexulose-6-phosphate isomerase	6113	6891	550.1290758	5144	5471	231.2239174
MBURv2_210308	50S ribosomal subunit protein L13	1786	1983	139.3000359	4944	3151	1267.842459
MBURv2_210090	30S ribosomal subunit protein S20	2935	3216	198.6970055	4812	4060	531.7442995
MBURv2_160296	thioredoxin 1	2982	3142	113.137085	4709	4349	254.5584412
MBURv2_130470	protein chain elongation factor EF-Tu (duplicate of tufA)	2726	2801	53.03300859	4604	4322	199.4041123
MBURv2_130471	50S ribosomal protein L25	2341	1890	318.9051583	4529	4616	61.51828996
MBURv2_130457	protein chain elongation factor EF-Tu (duplicate of tufA)	2507	2711	144.2497834	4467	4224	171.8269478
MBURv2_60178	"Cpn60 chaperonin GroEL, large subunit of GroESL"	939	920	13.43502884	4300	3771	374.0594872
MBURv2_60179	"Cpn10 chaperonin GroES, small subunit of GroESL"	756	702	38.18376618	4280	3265	717.7133829
MBURv2_210287	"MxaD-like protein, involved in methanol oxidation"	1967	1886	57.27564928	4246	3754	347.8965363
MBURv2_80066	glutamine synthetase	2544	2960	294.156421	4153	3788	258.0939751
MBURv2_80029	protein chain initiation factor IF-3	3282	3135	103.9446968	4092	3642	318.1980515
MBURv2_250070	"stress protein, member of the CspA-family"	3414	3200	151.3208512	4058	3836	156.9777054
MBURv2_80028	50S ribosomal subunit protein L20	2086	2494	288.4995667	4020	3588	305.4701295
MBURv2_130528	conserved protein of unknown function	2140	2823	482.9539316	4013	3947	46.66904756
MBURv2_20026	"HU, DNA-binding transcriptional regulator, beta subunit"	3221	3412	135.0573952	3921	3905	11.3137085
MBURv2_160288	putative peroxiredoxin	2945	2720	159.0990258	3761	3014	528.2087655
MBURv2_130430	50S ribosomal subunit protein L17	1737	1779	29.69848481	3639	3207	305.4701295
MBURv2_130434	30S ribosomal subunit protein S13	2317	2104	150.6137444	3464	3225	168.9985207
MBURv2_250100	conserved protein of unknown function	3680	3662	12.72792206	3435	3746	219.9102089
MBURv2_130380	50S ribosomal subunit protein L31	1559	1644	60.1040764	3360	2687	475.8828637
MBURv2_130775	ATP synthase subunit c	2154	2137	12.02081528	3284	3140	101.8233765
MBURv2_210075	conserved exported protein of unknown function	2621	1844	549.421969	3282	2829	320.3193719
MBURv2_50386	30S ribosomal subunit protein S6	1491	1685	137.1787156	3073	2478	420.7285348
MBURv2_130448	50S ribosomal subunit protein L16	1850	1697	108.1873375	3047	2522	371.2310601
MBURv2_130774	"F0 sector of membrane-bound ATP synthase, subunit b"	2296	2003	207.1822869	3026	2824	142.8355698
MBURv2_160316	transaldolase B	2796	2805	6.363961031	2984	3037	37.4766594
MBURv2_160287	conserved protein of unknown function	3021	3232	149.1995308	2973	2884	62.93250353
MBURv2_130115	30S ribosomal subunit protein S2	1884	1592	206.4751801	2956	2599	252.4371209
MBURv2_130460	30S ribosomal subunit protein S12	1741	1648	65.76093065	2953	2679	193.747258
MBURv2_130769	"F1 sector of membrane-bound ATP synthase, epsilon subunit"	2422	2077	243.9518395	2944	2907	26.1629509
MBURv2_50355	conserved exported protein of unknown function	1836	1576	183.8477631	2935	1638	917.1174952
MBURv2_80067	"nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB"	2388	2451	44.54772721	2887	2631	181.019336
MBURv2_130432	30S ribosomal subunit protein S4	1878	1650	161.2203461	2874	2618	181.019336
MBURv2_50303	50S ribosomal subunit protein L32	1808	1740	48.08326112	2867	2491	265.8721497
MBURv2_130469	Preprotein translocase subunit SecE	2326	2089	167.5843071	2867	2989	86.2670273
MBURv2_50385	30S ribosomal subunit protein S18	1069	1331	185.2619767	2865	2224	453.2554467
MBURv2_130433	30S ribosomal subunit protein S11	2002	1704	210.7178208	2855	2623	164.0487732
MBURv2_130445	50S ribosomal subunit protein L14	2996	2966	21.21320344	2839	3027	132.9360749
MBURv2_130447	50S ribosomal subunit protein L29	1859	1559	212.1320344	2788	2372	294.156421
MBURv2_80068	conserved membrane protein of unknown function	2348	2184	115.9655121	2778	2767	7.778174593
MBURv2_210306	30S ribosomal subunit protein S9	1285	1370	60.1040764	2773	2391	270.1147904
MBURv2_50353	conserved exported protein of unknown function	1607	1903	209.3036072	2759	2285	335.1686143
MBURv2_20177	30S ribosomal subunit protein S1	1765	1683	57.98275606	2756	2616	98.99494937
MBURv2_130466	50S ribosomal subunit protein L1	1676	1424	178.1909089	2625	2495	91.92388155
MBURv2_160314	"transketolase 1, thiamin-binding"	2469	2562	65.76093065	2520	2718	140.0071427
MBURv2_160310	"transketolase 1, thiamin-binding"	2348	2567	154.8563851	2519	2727	147.0782105
MBURv2_130431	"RNA polymerase, alpha subunit"	1481	1240	170.4127343	2516	2437	55.86143571
MBURv2_130472	phosphoribosylpyrophosphate synthase	1597	1354	171.8269478	2515	2573	41.01219331
MBURv2_160306	"transketolase 1, thiamin-binding"	2452	2575	86.97413409	2510	2723	150.6137444
MBURv2_130467	50S ribosomal subunit protein L11	1612	1081	375.4737008	2500	2124	265.8721497
MBURv2_160081	protein of unknown function	7070	3139	2779.636757	2496	2470	18.38477631
MBURv2_160199	protein C5 component of RNase P	1887	1922	24.74873734	2492	2660	118.7939392
MBURv2_130673	protein of unknown function	5909	3110	1979.191881	2482	2457	17.67766953
MBURv2_130440	50S ribosomal subunit protein L6	1826	1839	9.192388155	2477	2342	95.45941546
MBURv2_130439	50S ribosomal subunit protein L18	1795	2017	156.9777054	2466	2451	10.60660172
MBURv2_130720	Rhodanese domain protein	1427	1526	70.00357134	2424	2031	277.892965
MBURv2_130459	30S ribosomal subunit protein S7	1349	1343	4.242640687	2368	2300	48.08326112
MBURv2_160317	"fructose-bisphosphate aldolase, class II"	1354	1598	172.5340546	2343	2131	149.9066376
MBURv2_80069	regulatory protein P-II for glutamine synthetase	2363	2412	34.64823228	2332	2322	7.071067812
MBURv2_60325	pleiotropic regulatory protein for carbon source metabolism	2110	1188	651.9524523	2331	2398	47.37615434
MBURv2_130468	transcription termination factor	1810	1406	285.6711396	2325	2245	56.56854249
MBURv2_130452	50S ribosomal subunit protein L2	2008	1772	166.8772004	2298	2270	19.79898987
MBURv2_130643	conserved exported protein of unknown function	2889	2738	106.773124	2294	2217	54.44722215
MBURv2_130644	conserved exported protein of unknown function	2902	2089	574.8778131	2288	2345	40.30508653
MBURv2_60009	triosephosphate isomerase	1474	1551	54.44722215	2287	2050	167.5843071
MBURv2_210400	16S rRNA processing protein	1545	978	400.9295449	2274	2049	159.0990258
MBURv2_130446	30S ribosomal subunit protein S17	1781	1712	48.7903679	2266	2007	183.1406563
MBURv2_130174	30S ribosomal subunit protein S15	903	1254	248.1944802	2247	1898	246.7802666
MBURv2_60084	conserved protein of unknown function	1780	1983	143.5426766	2242	2269	19.09188309
MBURv2_210151	CBS domain containing membrane protein	1127	1051	53.74011537	2235	1978	181.7264428
MBURv2_130563	conserved protein of unknown function	1693	2219	371.9381669	2233	2569	237.5878785
MBURv2_20432	conserved exported protein of unknown function	1397	1461	45.254834	2207	1915	206.4751801
MBURv2_130629	Coenzyme PQQ synthesis protein A	11177	8993	1544.32121	2204	3541	945.4017664
MBURv2_130450	50S ribosomal subunit protein L22	1788	1612	124.4507935	2197	2073	87.68124087
MBURv2_210087	50S ribosomal subunit protein L27	1991	1392	423.5569619	2186	1949	167.5843071
MBURv2_130449	30S ribosomal subunit protein S3	1749	1760	7.778174593	2161	2066	67.17514421
MBURv2_130773	ATP synthase subunit delta	1647	1485	114.5512986	2157	2109	33.9411255
MBURv2_130444	50S ribosomal subunit protein L24	1451	1594	101.1162697	2149	2176	19.09188309
MBURv2_260033	D-erythrose 4-phosphate dehydrogenase	1145	1200	38.89087297	2136	1763	263.7508294
MBURv2_130455	50S ribosomal subunit protein L3	2401	1427	688.7220049	2127	2185	41.01219331
MBURv2_130438	30S ribosomal subunit protein S5	1854	1510	243.2447327	2104	2178	52.32590181
MBURv2_160104	30S ribosomal subunit protein S21	1190	942	175.3624817	2104	1771	235.4665581
MBURv2_130770	"F1 sector of membrane-bound ATP synthase, beta subunit"	1284	1366	57.98275606	2088	2088	0
MBURv2_210530	conserved protein of unknown function	3795	4832	733.2697321	2074	2936	609.5260454
MBURv2_130436	50S ribosomal subunit protein L15	2622	1449	829.4362543	2069	2152	58.68986284
MBURv2_130441	30S ribosomal subunit protein S8	1583	1615	22.627417	2026	1895	92.63098834
MBURv2_210402	50S ribosomal subunit protein L19	1211	1036	123.7436867	2002	1783	154.8563851
MBURv2_160244	D-ribulose-5-phosphate 3-epimerase	1321	1162	112.4299782	1983	1746	167.5843071
MBURv2_130928	NADH dehydrogenase (Ubiquinone) 24 kDa subunit	1132	942	134.3502884	1982	1556	301.2274888
MBURv2_130453	50S ribosomal subunit protein L23	2011	1605	287.0853532	1947	1791	110.3086579
MBURv2_130772	"F1 sector of membrane-bound ATP synthase, alpha subunit"	1524	1474	35.35533906	1947	2013	46.66904756
MBURv2_50384	conserved membrane protein of unknown function	1412	1364	33.9411255	1920	2037	82.7314934
MBURv2_160217	conserved protein of unknown function	2077	2344	188.7975106	1897	1724	122.3294731
MBURv2_130585	"ribosome-associated, sigma 54 modulation protein"	1316	1210	74.95331881	1879	1688	135.0573952
MBURv2_130425	"superoxide dismutase, Fe"	1212	1185	19.09188309	1866	1364	354.9676042
MBURv2_130442	30S ribosomal subunit protein S14	2134	1821	221.3244225	1792	1822	21.21320344
MBURv2_130443	50S ribosomal subunit protein L5	1370	1711	241.1234124	1789	1762	19.09188309
MBURv2_130114	protein chain elongation factor EF-Ts	1076	1024	36.76955262	1765	1610	109.6015511
MBURv2_210399	30S ribosomal subunit protein S16	864	757	75.66042559	1756	1530	159.8061325
MBURv2_250042	Peptidyl-prolyl cis-trans isomerase	1324	1349	17.67766953	1712	1524	132.9360749
MBURv2_130456	30S ribosomal subunit protein S10	1507	1153	250.3158005	1700	1343	252.4371209
MBURv2_130376	Fimbrial protein	2386	2454	48.08326112	1696	1856	113.137085
MBURv2_130458	"protein chain elongation factor EF-G, GTP-binding"	1421	1042	267.9934701	1694	1594	70.71067812
MBURv2_50383	50S ribosomal subunit protein L9	1422	1395	19.09188309	1638	1666	19.79898987
MBURv2_160315	conserved exported protein of unknown function	2163	2226	44.54772721	1629	1759	91.92388155
MBURv2_130451	30S ribosomal subunit protein S19	1690	1552	97.5807358	1615	1725	77.78174593
MBURv2_210086	50S ribosomal subunit protein L21	1278	633	456.0838739	1586	1195	276.4787514
MBURv2_130435	preprotein translocase membrane subunit	1946	1307	451.8412332	1581	1821	169.7056275
MBURv2_210298	putative MxaA protein involved in methanol oxidation	2214	1838	265.8721497	1580	1923	242.5376259
MBURv2_30043	Tat pathway signal sequence domain protein	878	921	30.40559159	1577	1321	181.019336
MBURv2_210299	MxaC protein involved in methanol oxidation	1796	1781	10.60660172	1569	1906	238.2949853
MBURv2_130639	conserved exported protein of unknown function	2119	1511	429.920923	1505	1647	100.4091629
MBURv2_160103	conserved hypothetical protein	890	606	200.8183259	1487	1365	86.2670273
MBURv2_50302	conserved protein of unknown function	978	878	70.71067812	1477	1304	122.3294731
MBURv2_160099	S-adenosyl-L-homocysteine hydrolase	909	958	34.64823228	1469	1467	1.414213562
MBURv2_210295	Protein MoxR	1917	2163	173.9482682	1456	1718	185.2619767
MBURv2_130771	"F1 sector of membrane-bound ATP synthase, gamma subunit"	1305	1155	106.0660172	1453	1499	32.52691193
MBURv2_20228	Cytochrome c oxidase polypeptide III	1175	1027	104.6518036	1451	1517	46.66904756
MBURv2_160320	conserved protein of unknown function	852	787	45.96194078	1449	1280	119.501046
MBURv2_20405	enolase	720	736	11.3137085	1448	1324	87.68124087
MBURv2_130416	acetohydroxy acid isomeroreductase and 2-dehydropantoate 2-reductase	924	867	40.30508653	1438	1285	108.1873375
MBURv2_130930	"Formate dehydrogenase, alpha subunit, archaeal-type"	881	916	24.74873734	1426	1290	96.16652224
MBURv2_60106	putative formate/nitrate transporter	860	974	80.61017306	1416	1278	97.5807358
MBURv2_160088	conserved exported protein of unknown function	2213	2424	149.1995308	1403	1457	38.18376618
MBURv2_160100	methionine adenosyltransferase 1	840	759	57.27564928	1398	1256	100.4091629
MBURv2_130929	"NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit"	952	894	41.01219331	1382	1211	120.9152596
MBURv2_260032	pyruvate kinase II	969	1138	119.501046	1366	1356	7.071067812
MBURv2_210385	Flagellin	654	690	25.45584412	1365	1279	60.81118318
MBURv2_60008	"preprotein translocase IISP family, auxillary membrane component"	868	1049	127.9863274	1364	1286	55.15432893
MBURv2_210030	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase	846	921	53.03300859	1353	1208	102.5304833
MBURv2_160101	"RNA polymerase, sigma 70 (sigma D) factor"	754	666	62.22539674	1350	1200	106.0660172
MBURv2_190076	Rare lipoprotein A	1922	2165	171.8269478	1344	1287	40.30508653
MBURv2_130429	7-Fe ferredoxin	537	712	123.7436867	1339	974	258.0939751
MBURv2_80030	threonyl-tRNA synthetase	703	835	93.33809512	1329	1181	104.6518036
MBURv2_210401	tRNA (guanine-1-)-methyltransferase	928	772	110.3086579	1307	1343	25.45584412
MBURv2_210228	protein of unknown function	914	999	60.1040764	1292	1068	158.391919
MBURv2_60348	"DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein"	740	901	113.8441918	1287	1059	161.2203461
MBURv2_50419	Na(+)-translocating NADH-quinone reductase subunit F	1512	1218	207.8893937	1284	1337	37.4766594
MBURv2_130437	50S ribosomal subunit protein L30	1170	1036	94.75230868	1273	1263	7.071067812
MBURv2_20178	"integration host factor (IHF), DNA-binding protein, beta subunit"	711	779	48.08326112	1259	1052	146.3711037
MBURv2_20080	translation initiation factor IF-1	795	570	159.0990258	1228	1001	160.5132393
MBURv2_60380	Copper-repressible polypeptide	1254	1247	4.949747468	1210	1278	48.08326112
MBURv2_130776	"F0 sector of membrane-bound ATP synthase, subunit a"	706	764	41.01219331	1202	1120	57.98275606
MBURv2_80024	"Transcriptional regulator, MerR family"	812	1011	140.7142495	1197	1079	83.43860018
MBURv2_60180	protein of unknown function	415	414	0.707106781	1195	966	161.9274529
MBURv2_130454	50S ribosomal subunit protein L4	1472	1312	113.137085	1162	1161	0.707106781
MBURv2_20224	Cytochrome c oxidase subunit 2	1161	874	202.9396462	1148	1248	70.71067812
MBURv2_160021	conserved protein of unknown function	628	954	230.5168107	1144	1182	26.87005769
MBURv2_30040	conserved exported protein of unknown function	897	1004	75.66042559	1141	1088	37.4766594
MBURv2_80094	Filamentous hemagglutinin family outer membrane protein	1507	1378	91.21677477	1136	1081	38.89087297
MBURv2_60111	"nitrite reductase, large subunit, NAD(P)H-binding"	1138	1196	41.01219331	1128	1172	31.11269837
MBURv2_50309	3-oxoacyl-[acyl-carrier-protein] synthase II	965	922	30.40559159	1117	1129	8.485281374
MBURv2_20399	Formaldehyde activating enzyme homolog	856	989	94.0452019	1089	1034	38.89087297
MBURv2_130661	"Sigma54 specific transcriptional regulator, Fis family"	830	843	9.192388155	1085	1034	36.06244584
MBURv2_210297	putative MxaS protein involved in methanol oxidation	1415	1438	16.26345597	1083	1304	156.2705986
MBURv2_50424	Na(+)-translocating NADH-quinone reductase subunit A	1313	678	449.0128061	1072	1061	7.778174593
MBURv2_130173	polynucleotide phosphorylase/polyadenylase	701	784	58.68986284	1053	999	38.18376618
MBURv2_240090	"protein chain elongation factor EF-G, GTP-binding"	701	529	121.6223664	1043	926	82.7314934
MBURv2_210296	MxaP protein	861	1192	234.0523446	1042	1192	106.0660172
MBURv2_130401	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	701	619	57.98275606	1035	992	30.40559159
MBURv2_20470	ErfK/YbiS/YcfS/YnhG family protein	1429	1034	279.3071786	1033	1063	21.21320344
MBURv2_80021	conserved hypothetical protein; putative inner membrane protein	1119	1034	60.1040764	1031	985	32.52691193
MBURv2_130707	conserved exported protein of unknown function	1203	1304	71.4177849	1027	1026	0.707106781
MBURv2_130171	Cytochrome c6	2761	2795	24.04163056	1020	1111	64.34671709
MBURv2_50421	Na(+)-translocating NADH-quinone reductase subunit D	1138	1033	74.24621202	1019	1183	115.9655121
MBURv2_50422	Na(+)-translocating NADH-quinone reductase subunit C	1248	873	265.1650429	1018	1023	3.535533906
MBURv2_130300	Malyl-CoA lyase	604	689	60.1040764	1012	999	9.192388155
MBURv2_160022	conserved protein of unknown function	714	590	87.68124087	1011	929	57.98275606
MBURv2_130931	Protein FdhD homolog	609	844	166.1700936	1004	1004	0
MBURv2_260005	conserved exported protein of unknown function	540	571	21.92031022	1001	836	116.6726189
MBURv2_210300	MxaK protein involved in methanol oxidation	1071	961	77.78174593	991	1191	141.4213562
MBURv2_20024	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	746	658	62.22539674	982	970	8.485281374
MBURv2_130079	Group 1 truncated hemoglobin	1315	1146	119.501046	977	821	110.3086579
MBURv2_50420	Na(+)-translocating NADH-quinone reductase subunit E	958	909	34.64823228	975	1064	62.93250353
MBURv2_20225	putative cytochrome c oxidase subunit 1	1007	1032	17.67766953	965	1105	98.99494937
MBURv2_130473	4-diphosphocytidyl-2-C-methylerythritol kinase	687	558	91.21677477	958	963	3.535533906
MBURv2_160546	conserved exported protein of unknown function	506	782	195.1614716	936	981	31.81980515
MBURv2_130260	Outer membrane chaperone Skp (OmpH)	658	524	94.75230868	929	785	101.8233765
MBURv2_20304	PpiC-type peptidyl-prolyl cis-trans isomerase	643	683	28.28427125	914	773	99.70205615
MBURv2_50423	Na(+)-translocating NADH-quinone reductase subunit B	890	986	67.88225099	906	1026	84.85281374
MBURv2_20420	conserved protein of unknown function	346	734	274.3574311	905	938	23.33452378
MBURv2_60109	Phenazine biosynthesis protein PhzF family	939	980	28.99137803	903	870	23.33452378
MBURv2_60108	Cyanate hydratase	544	620	53.74011537	886	684	142.8355698
MBURv2_120079	conserved exported protein of unknown function	1034	883	106.773124	873	816	40.30508653
MBURv2_130808	VacJ family lipoprotein	531	521	7.071067812	868	778	63.63961031
MBURv2_20008	Protein hfq	725	666	41.71930009	861	715	103.2375901
MBURv2_50073	"chaperone Hsp70, co-chaperone with DnaJ"	319	330	7.778174593	840	747	65.76093065
MBURv2_20022	Trigger factor	490	365	88.38834765	837	697	98.99494937
MBURv2_20287	Bacterioferritin-associated ferredoxin	132	233	71.4177849	835	658	125.1579003
MBURv2_20406	cell division protein	530	507	16.26345597	834	751	58.68986284
MBURv2_50306	malonyl-CoA-[acyl-carrier-protein] transacylase	421	493	50.91168825	830	788	29.69848481
MBURv2_20185	Formaldehyde-activating enzyme	1775	2238	327.3904397	829	933	73.53910524
MBURv2_130777	ATP synthase protein I	448	726	196.5756852	828	774	38.18376618
MBURv2_230006	Peptidoglycan-associated lipoprotein	537	475	43.84062043	823	737	60.81118318
MBURv2_30041	"Nitrate ABC transporter, ATPase subunits C and D"	638	690	36.76955262	819	775	31.11269837
MBURv2_130296	conserved exported protein of unknown function	788	693	67.17514421	819	832	9.192388155
MBURv2_160218	Transcriptional repressor SmtB homolog	889	927	26.87005769	818	667	106.773124
MBURv2_60210	conserved protein of unknown function	1284	1234	35.35533906	817	1103	202.2325394
MBURv2_130126	Elongation factor EF-P	473	367	74.95331881	812	679	94.0452019
MBURv2_130024	"putative isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"	525	525	0	804	693	78.48885271
MBURv2_210026	putative SecYEG protein translocase auxillary subunit (YajC)	600	800	141.4213562	800	873	51.61879503
MBURv2_80025	"integration host factor (IHF), DNA-binding protein, alpha subunit"	674	563	78.48885271	798	650	104.6518036
MBURv2_50307	3-oxoacyl-[acyl-carrier-protein] reductase	537	559	15.55634919	796	776	14.14213562
MBURv2_20205	conserved protein of unknown function	1391	1089	213.5462479	793	774	13.43502884
MBURv2_210197	peptidyl-prolyl cis-trans isomerase B (rotamase B)	373	348	17.67766953	786	641	102.5304833
MBURv2_160118	phosphoribosylformimino-5-aminoimidazole carboxamide isomerase	413	358	38.89087297	784	704	56.56854249
MBURv2_210344	molecular chaperone HSP90 family	249	237	8.485281374	777	577	141.4213562
MBURv2_20030	"enoyl-[acyl-carrier-protein] reductase, NADH-dependent"	801	709	65.05382387	774	716	41.01219331
MBURv2_130690	protein export chaperone	351	423	50.91168825	764	625	98.28784258
MBURv2_130461	protein of unknown function	1103	409	490.7321061	763	706	40.30508653
MBURv2_20023	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	511	485	18.38477631	755	696	41.71930009
MBURv2_50044	conserved protein of unknown function	895	850	31.81980515	750	833	58.68986284
MBURv2_20458	Cytochrome c family protein	363	391	19.79898987	742	561	127.9863274
MBURv2_130577	thiamin (pyrimidine moiety) biosynthesis protein	587	623	25.45584412	742	632	77.78174593
MBURv2_30042	Binding-protein-dependent transport systems inner membrane component	659	672	9.192388155	739	718	14.8492424
MBURv2_30028	"acetyl CoA carboxylase, BCCP subunit"	619	678	41.71930009	738	654	59.39696962
MBURv2_210386	putative Protein FlaG	632	468	115.9655121	735	728	4.949747468
MBURv2_130418	"acetolactate synthase III, large subunit"	669	557	79.19595949	728	691	26.1629509
MBURv2_240104	major cold shock protein	392	413	14.8492424	727	576	106.773124
MBURv2_250041	conserved protein of unknown function	738	858	84.85281374	726	792	46.66904756
MBURv2_50359	conserved protein of unknown function	427	421	4.242640687	720	613	75.66042559
MBURv2_210200	conserved protein of unknown function	1292	1164	90.50966799	720	795	53.03300859
MBURv2_80063	Transketolase domain protein	740	769	20.50609665	714	686	19.79898987
MBURv2_50089	heat shock protein	507	534	19.09188309	706	698	5.656854249
MBURv2_160200	"cytoplasmic insertase into membrane protein, Sec system"	605	507	69.29646456	705	689	11.3137085
MBURv2_130298	"succinyl-CoA synthetase, NAD(P)-binding, alpha subunit"	518	529	7.778174593	700	686	9.899494937
MBURv2_50322	Formaldehyde-activating enzyme	662	493	119.501046	695	593	72.12489168
MBURv2_130299	"succinyl-CoA synthetase, beta subunit"	427	446	13.43502884	695	686	6.363961031
MBURv2_250098	conserved protein of unknown function	580	519	43.13351365	695	641	38.18376618
MBURv2_60110	"nitrite reductase, NAD(P)H-binding, small subunit"	784	662	86.2670273	690	633	40.30508653
MBURv2_80027	"phenylalanine tRNA synthetase, alpha subunit"	504	385	84.14570696	689	639	35.35533906
MBURv2_50414	conserved protein of unknown function	1052	1106	38.18376618	688	662	18.38477631
MBURv2_210130	DNA-directed RNA polymerase subunit omega	399	423	16.97056275	688	568	84.85281374
MBURv2_20011	modulator for HflB protease specific for phage lambda cII repressor	903	755	104.6518036	679	745	46.66904756
MBURv2_30099	Metal-binding protein smbP (Modular protein)	1431	1553	86.2670273	678	683	3.535533906
MBURv2_160178	S-adenosylmethionine decarboxylase	552	467	60.1040764	676	633	30.40559159
MBURv2_210534	conserved exported protein of unknown function	627	631	2.828427125	676	536	98.99494937
MBURv2_130463	"RNA polymerase, beta subunit"	523	378	102.5304833	673	617	39.59797975
MBURv2_30113	Heat shock protein Hsp20	318	479	113.8441918	667	655	8.485281374
MBURv2_190099	GTP-binding tubulin-like cell division protein	383	509	89.09545443	667	600	47.37615434
MBURv2_210031	putative Fe-S containing enzyme	579	573	4.242640687	666	713	33.23401872
MBURv2_130113	uridylate kinase	573	470	72.83199846	664	623	28.99137803
MBURv2_210145	FKBP-type peptidyl-prolyl cis-trans isomerase	793	392	283.5498193	664	561	72.83199846
MBURv2_130462	"RNA polymerase, beta prime subunit"	469	419	35.35533906	662	648	9.899494937
MBURv2_130302	Serine--glyoxylate aminotransferase	172	253	57.27564928	657	552	74.24621202
MBURv2_60126	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"	404	411	4.949747468	650	568	57.98275606
MBURv2_30140	Argininosuccinate synthase	445	436	6.363961031	649	602	33.23401872
MBURv2_50426	aspartyl-tRNA synthetase	355	390	24.74873734	639	633	4.242640687
MBURv2_130811	"Propeptide, PepSY amd peptidase M4"	374	397	16.26345597	638	540	69.29646456
MBURv2_210303	"ribose 5-phosphate isomerase, constitutive"	546	512	24.04163056	638	547	64.34671709
MBURv2_130568	aspartate 1-decarboxylase	165	425	183.8477631	636	604	22.627417
MBURv2_30039	putative FAD-dependent pyridine nucleotide-disulphide oxidoreductase; nitrate or nitrite reductase subunit	541	683	100.4091629	631	646	10.60660172
MBURv2_130583	conserved protein of unknown function	213	385	121.6223664	629	543	60.81118318
MBURv2_50052	protein of unknown function	425	213	149.9066376	627	399	161.2203461
MBURv2_160311	conserved protein of unknown function	455	614	112.4299782	624	604	14.14213562
MBURv2_160122	Rhodanese domain protein	399	624	159.0990258	619	686	47.37615434
MBURv2_210398	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	385	399	9.899494937	617	563	38.18376618
MBURv2_160307	conserved protein of unknown function	577	631	38.18376618	616	604	8.485281374
MBURv2_210307	protein of unknown function	369	286	58.68986284	612	411	142.128463
MBURv2_50078	"Tungsten-containing NAD-dependent formate dehydrogenase, alpha subunit"	367	419	36.76955262	611	498	79.90306627
