Gene ID	product	MB_31_BR1	MB_31_BR2	MIX_31_13_BR1	MIX_31_13_BR2	MIX_31_JLW8_BR1	MIX_31_JLW8_BR2
T449DRAFT_0039	transposase	31.39100064	24.94085167	9.624767739	11.76370425	24.66700538	23.38800179
T449DRAFT_0041	FeoC like transcriptional regulator	1144.899551	1638.422102	1993.289399	1448.745423	2014.904861	1114.119358
T449DRAFT_0042	ferrous iron transporter FeoB	10735.72222	14812.94736	21777.96196	15459.31718	16708.65049	11374.0105
T449DRAFT_0043	Fe2+ transport system protein A	1123.100245	1482.062147	2606.387104	1719.31062	1726.690377	1137.50736
T449DRAFT_0044	transposase	9.591694641	13.42968936	16.36210516	10.85880392	5.193053764	7.441636932
T449DRAFT_0045	transposase	105.508641	83.45592673	112.6097825	106.7782385	96.07149464	96.74128011
T449DRAFT_0046	DNA-binding protein H-NS	3773.895855	3730.575851	4246.447527	4199.642415	3109.340941	4114.162132
T449DRAFT_0047	Protein of unknown function (DUF2914)	1709.937563	1817.804381	1758.445066	1881.287779	1679.952893	1909.311418
T449DRAFT_0048	"2-oxoglutarate dehydrogenase, E1 component"	11517.00935	10406.09073	10005.90854	11186.37784	11088.46805	11133.75194
T449DRAFT_0049	2-oxoglutarate dehydrogenase E2 component	4763.584348	4779.050885	3924.017807	4821.30894	5515.023098	5141.108029
T449DRAFT_0050	dihydrolipoamide dehydrogenase	3945.674386	3791.009453	3237.771867	3765.290259	4288.164146	4087.584857
T449DRAFT_0051	"alpha-L-glutamate ligase, RimK family"	4275.279893	4266.804162	4791.209381	4633.089672	4106.407264	4009.979215
T449DRAFT_0052	rubredoxin	819.6539057	812.4962062	912.4279817	912.1395292	952.9253657	877.0500669
T449DRAFT_0053	hypothetical protein	1596.581172	1729.552137	1787.319369	1734.693926	1937.009054	1797.686864
T449DRAFT_0054	uncharacterized protein involved in response to NO	6893.81253	6419.391514	7424.545834	6727.933928	7287.152695	7573.460214
T449DRAFT_0055	Protein of unknown function (DUF2721)	2062.214348	2020.208985	2279.145001	2170.855883	2104.485038	1996.48488
T449DRAFT_0056	hypothetical protein	830.9895448	981.3265868	980.7638326	986.3413559	1043.803807	1062.027899
T449DRAFT_0057	"predicted nucleic acid-binding protein, contains PIN domain"	798.7265719	798.1072534	801.7431527	736.5888658	811.4146507	869.60843
T449DRAFT_0058	"addiction module toxin, RelE/StbE family"	925.1625467	979.4080597	789.2309546	898.5660243	980.188898	967.4128011
T449DRAFT_0059	"Ribbon-helix-helix protein, copG family"	783.9030438	861.4186461	663.1464972	719.3957596	720.5362098	864.2929751
T449DRAFT_0060	hypothetical protein	834.4774338	919.9337211	754.5817908	769.1652776	1103.523925	984.422257
T449DRAFT_0061	lipid-A-disaccharide kinase	2902.795587	2776.108643	3173.285924	2951.784865	2913.303162	3041.503323
T449DRAFT_0062	biopolymer transport protein	1287.902999	1344.887463	1571.724572	1542.855057	1555.319602	1514.904661
T449DRAFT_0063	biopolymer transport protein	2190.394267	2257.147076	2634.29893	2545.484619	2079.818033	2253.752899
T449DRAFT_0064	Major Facilitator Superfamily transporter	342.6850904	365.4794033	564.9738663	399.061044	527.0949571	425.2363961
T449DRAFT_0065	hypothetical protein	235.4325048	308.8828553	311.8424748	290.4730048	394.6720861	246.6371097
T449DRAFT_0066	chorismate synthase	6636.580719	6033.767576	6314.810114	6356.019894	5997.977098	6207.388292
T449DRAFT_0067	"protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific"	4494.144925	4225.555831	4594.864119	4765.20512	4471.219291	4423.52161
T449DRAFT_0068	predicted signal transduction protein	3349.245374	3335.359279	2727.659177	3159.91194	3605.277576	3501.821722
T449DRAFT_0069	Flagellar hook-length control protein FliK	2412.747188	2237.961805	1883.567047	2044.169838	2519.929339	2750.216392
T449DRAFT_0070	predicted transcriptional regulator	2241.840629	2235.084015	1884.529523	1931.962197	2303.119344	2163.390165
T449DRAFT_0071	peptide chain release factor 3	5650.380116	5763.255262	6498.643178	6085.454696	6756.162947	6048.987734
T449DRAFT_0073	PilZ domain-containing protein	1752.664203	1637.462838	1287.793924	1327.488779	1441.07242	1537.229572
T449DRAFT_0074	malate/lactate dehydrogenase	3846.269551	3547.356518	2931.704253	3020.55729	3414.43285	3407.206624
T449DRAFT_0075	response regulator with CheY-like receiver domain and winged-helix DNA-binding domain	703.6815977	694.5067926	570.7487269	651.5282351	817.9059679	766.488604
T449DRAFT_0076	"deacetylase, histone deacetylase/acetoin utilization protein"	957.4255196	988.0414314	866.2290965	868.7043135	1021.733328	903.6273417
T449DRAFT_0077	HD-GYP domain-containing protein	2496.456523	2528.618654	2177.122463	2206.146996	2726.353226	2716.19748
T449DRAFT_0078	predicted transmembrane sensor domain protein	831.861517	738.6329148	987.50117	798.122088	912.6791991	990.8008029
T449DRAFT_0079	filamentous hemagglutinin family N-terminal domain	6895.556475	6361.835702	7520.793511	7637.358756	7059.956592	6833.548885
T449DRAFT_0080	FecR family protein	1657.619228	1517.554898	1708.396274	1731.979225	1742.269538	1809.380865
T449DRAFT_0081	hemolysin activation/secretion protein	2114.532682	1882.075037	2052.000482	1997.115021	2295.329764	2240.995807
T449DRAFT_0082	PAS domain S-box	3303.030845	2913.283327	2551.525928	2718.320581	3134.007947	3251.995339
T449DRAFT_0083	hypothetical protein	122.9480859	153.4821641	138.5966554	107.6831389	145.4055054	157.3374666
T449DRAFT_0084	phosphatidylglycerophosphatase A-like protein	1234.712692	1357.357889	1339.767669	1156.462617	1689.040737	1519.157025
T449DRAFT_0085	thiamine-monophosphate kinase	3006.560284	3292.19242	3264.721217	3030.511194	4131.074269	3194.588426
T449DRAFT_0086	NusB antitermination factor	2191.266239	2651.404385	2408.116888	2300.25663	2922.391006	2306.907449
T449DRAFT_0087	"6,7-dimethyl-8-ribityllumazine synthase"	3552.414906	3952.165726	3679.548707	3442.240842	3915.562538	3542.219179
T449DRAFT_0088	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	7307.127372	7260.665626	7023.193019	6893.530688	8058.321179	7822.223506
T449DRAFT_0089	riboflavin synthase alpha chain	2469.425384	2585.215202	2288.769768	2421.513274	2882.144839	2859.714764
T449DRAFT_0090	riboflavin biosynthesis protein RibD	7301.895538	6851.0601	6412.020268	6704.406519	6657.494926	7455.457115
T449DRAFT_0091	transcriptional regulator NrdR	2842.629503	2761.71969	2802.732366	2726.464684	2743.230651	2956.456044
T449DRAFT_0092	Class II Aldolase and Adducin N-terminal domain	413.3148418	510.3281957	509.1502134	416.2541502	521.9019033	452.8767618
T449DRAFT_0093	"Glutaredoxin, GrxC family"	3186.186565	2761.71969	2682.422769	2504.764104	2540.701554	3158.443332
T449DRAFT_0094	O-succinylhomoserine sulfhydrylase	9310.91958	9635.802115	9709.465695	9249.891138	10288.73777	9832.528569
T449DRAFT_0095	amidophosphoribosyltransferase	6926.947475	7681.782314	7593.941746	7467.237495	9213.775641	7883.882784
T449DRAFT_0096	"uncharacterized membrane protein, required for colicin V production"	3405.051598	3791.968717	3356.156511	3235.923568	4702.310183	3885.597569
T449DRAFT_0097	sporulation related protein	10712.17897	12378.33654	11762.42865	11417.12742	13248.77842	13535.27449
T449DRAFT_0098	folylpolyglutamate synthase/dihydrofolate synthase	10540.40044	10380.19061	9799.938512	9638.998278	11410.43738	10709.57864
T449DRAFT_0099	"acetyl-CoA carboxylase, carboxyl transferase, beta subunit"	7874.7813	7941.742729	8209.926882	8055.422707	9231.951329	8972.487958
T449DRAFT_0100	"tryptophan synthase, alpha chain"	6361.037491	7032.360907	6277.27352	6719.789825	8612.679668	7058.924175
T449DRAFT_0101	"tryptophan synthase, beta subunit"	13029.88118	13850.80605	12580.53391	14119.1598	16184.15206	13728.75705
T449DRAFT_0102	phosphoribosylanthranilate isomerase	6232.857572	6220.823964	5959.656184	6333.397385	6617.248759	6327.517574
T449DRAFT_0103	predicted membrane protein	2515.639913	2389.525442	2825.831808	2634.164851	2231.714855	2352.620361
T449DRAFT_0104	tRNA pseudouridine(38-40) synthase	2133.716071	1954.019802	1975.00234	2188.95389	2022.694441	2063.459612
T449DRAFT_0105	Ykud domain-containing protein	1311.446249	1296.924287	1389.816462	1491.275738	1308.649549	1306.538827
T449DRAFT_0106	23S rRNA (uracil-5-)-methyltransferase RumA	3970.961581	4037.54018	4118.438116	4670.190585	3838.964995	3968.518667
T449DRAFT_0107	Protein of unknown function (DUF1318)	2002.048263	2001.982978	2258.932988	2396.176065	1896.762887	2192.093622
T449DRAFT_0109	diguanylate cyclase (GGDEF) domain-containing protein	6518.864467	5944.556069	6648.789554	6360.544395	6702.934146	6577.343957
T449DRAFT_0110	outer membrane receptor protein	3384.996236	2990.02441	3546.726912	3330.033202	3002.883339	3090.405509
T449DRAFT_0111	outer membrane protein	132.5397805	143.8895289	133.7842716	128.4958464	151.8968226	124.3816459
T449DRAFT_0112	ABC-type bacteriocin/lantibiotic exporter with N-terminal double-glycine peptidase domain	463.8892317	435.5056407	404.240245	410.8247482	573.8324409	534.7347681
T449DRAFT_0113	"Ca2+-binding protein, RTX toxin"	2763.280029	2887.383212	2607.349581	2801.571411	4024.616667	3529.462088
T449DRAFT_0114	Protein of unknown function (DUF1311)	200.5536152	190.8934416	184.7955406	180.075165	233.6874194	189.2301963
T449DRAFT_0115	hypothetical protein	26.1591672	14.38895289	25.02439612	19.90780718	32.45658603	22.3249108
T449DRAFT_0116	radical SAM superfamily enzyme	61.91002905	69.06697385	64.48594385	70.58222547	80.49233334	79.73182427
T449DRAFT_0117	"glycosyl transferase, UDP-glucuronosyltransferase"	122.0761136	128.5413124	141.4840858	116.7321421	131.1246075	150.9589206
T449DRAFT_0118	"type I secretion membrane fusion protein, HlyD family"	141.2595029	118.9486772	125.1219806	120.3517434	148.0020323	124.3816459
T449DRAFT_0119	VCBS repeat-containing protein	3827.958134	3537.763883	3602.550565	3524.586772	3684.471646	3910.048662
T449DRAFT_0120	hypothetical protein	196.193754	177.4637522	248.3190077	226.2250816	224.5995753	203.0503791
T449DRAFT_0121	hypothetical protein	323.5017011	293.5346389	582.2984482	352.9111274	358.3207097	334.8736619
T449DRAFT_0122	hypothetical protein	185.7300871	162.1155358	200.195169	138.44975	201.2308334	165.8421945
T449DRAFT_0123	transposase	108.99653	101.6819337	122.2345503	76.91652776	122.0367635	98.86746209
T449DRAFT_0124	hypothetical protein	369.7162298	326.1495987	309.9175212	342.9572238	285.617957	348.6938448
T449DRAFT_0125	hypothetical protein	783.9030438	928.5670929	4925.956129	2264.965517	769.8702205	715.4602364
T449DRAFT_0126	hypothetical protein	367.9722853	520.8800944	2534.201346	1180.894926	577.7272313	456.0660348
T449DRAFT_0127	hypothetical protein	85.45327953	97.84487962	153.0338071	131.2105473	102.5628118	127.5709188
T449DRAFT_0128	hypothetical protein	61.03805681	62.35212917	95.28520062	64.24792318	72.7027527	65.91164139
T449DRAFT_0129	hemolysin-type calcium-binding protein	114.2283635	117.0301501	167.4709587	144.7840522	141.5107151	145.6434657
T449DRAFT_0130	hypothetical protein	71.50172369	71.94476443	94.32272384	85.06063069	107.7558656	71.22709635
T449DRAFT_0132	hypothetical protein	1879.97215	1878.237983	1960.565188	1845.091766	2270.662758	2250.563626
T449DRAFT_0133	cysteine synthase B	5693.106755	5528.235698	5459.168262	5522.606693	5321.581845	5576.975335
T449DRAFT_0134	"HAD-superfamily subfamily IB hydrolase, TIGR01490"	2488.608773	2493.125903	2733.434038	2693.888272	2590.035565	2685.367841
T449DRAFT_0135	NTP pyrophosphohydrolase	2476.401162	2340.603003	2263.745372	2082.175651	2432.945689	2439.793823
T449DRAFT_0136	hypothetical protein	252.8719496	283.9420036	218.4822277	181.8849656	325.8641237	265.7727476
T449DRAFT_0137	NAD-dependent DNA ligase	1225.99297	1268.146381	1386.929031	1236.998746	1585.179662	1332.053011
T449DRAFT_0138	hypothetical protein	2241.840629	2229.328434	1983.664631	1937.391599	3084.673936	2185.715076
T449DRAFT_0139	"ZipA, C-terminal FtsZ-binding domain"	9987.570038	9309.652517	9349.499382	8877.072203	7600.034184	9682.632739
T449DRAFT_0140	condensin subunit Smc	11700.12352	11208.03503	11213.81689	11572.77028	11480.54361	12305.27821
T449DRAFT_0141	7-cyano-7-deazaguanine reductase	1465.785336	1457.121295	1799.831567	1547.379558	1661.777205	1714.765767
T449DRAFT_0142	"uncharacterized protein, cytoplasmic domain of flagellar protein FhlB like protein"	269.4394222	357.8052951	369.5910812	328.4788185	393.3738226	356.1354817
T449DRAFT_0143	phosphatidylserine decarboxylase precursor	1396.899529	1374.624632	1380.191694	1381.782799	1882.48199	1433.046655
T449DRAFT_0144	hypothetical protein	964.4012975	1171.260765	902.8032139	862.3700112	1165.84057	1045.018443
T449DRAFT_0145	Domain of unknown function (DUF4145)	2046.518847	2289.762036	1707.433797	1852.330968	2414.77	2302.655085
T449DRAFT_0146	predicted nucleotidyltransferase	341.8131181	310.8013823	330.1295335	329.3837189	375.1981345	326.368934
T449DRAFT_0147	hypothetical protein	487.4324822	459.4872288	450.4391302	397.2512434	476.4626829	482.6433096
T449DRAFT_0148	"hydrolase, TatD family"	1533.79917	1717.081711	1540.925315	1561.857964	2174.591264	1647.791035
T449DRAFT_0149	Tfp pilus assembly protein PilZ	2144.179738	2166.976304	1976.927294	1953.679805	2004.518753	2255.879081
T449DRAFT_0150	"DNA polymerase III, delta' subunit"	1212.913386	1334.335564	1498.576337	1169.131222	1778.620914	1512.778479
T449DRAFT_0151	thymidylate kinase	948.7057972	1053.271351	1224.270456	1030.681472	1370.966194	1157.706088
T449DRAFT_0152	"conserved hypothetical protein, YceG family"	1696.857979	1719.959502	2115.523949	1834.232962	2527.71892	2307.97054
T449DRAFT_0153	aminodeoxychorismate lyase	1696.857979	1938.671585	2314.756641	1939.2014	2667.931371	2277.140901
T449DRAFT_0154	beta-ketoacyl-acyl-carrier-protein synthase II	6676.691442	7348.91787	8912.534927	8471.676857	9722.69491	7883.882784
T449DRAFT_0155	acyl carrier protein	36478.08669	44199.98547	47820.65851	41082.47482	47569.67074	46155.15843
T449DRAFT_0156	3-oxoacyl-(acyl-carrier-protein) reductase	7353.341901	8330.244457	7285.949179	7511.577611	10683.40986	8602.532293
T449DRAFT_0157	malonyl CoA-acyl carrier protein transacylase	6293.023657	6244.805552	6142.526771	5988.630361	7812.949388	6500.801405
T449DRAFT_0158	3-oxoacyl-(acyl-carrier-protein) synthase III	3467.833599	4064.399558	3648.74945	4104.627881	6184.927033	4506.442708
T449DRAFT_0159	phosphate:acyl-(acyl carrier protein) acyltransferase	6466.546132	8328.32593	6632.427449	7451.854189	11524.68457	8070.986798
T449DRAFT_0160	ribosomal protein L32	7890.4768	9090.940433	8732.55177	8507.87287	12058.27084	9555.06182
T449DRAFT_0161	"predicted metal-binding protein, possibly nucleic-acid binding"	10786.29661	11814.28958	9837.475106	10678.72875	13057.93369	12530.6535
T449DRAFT_0162	protein of unknown function (DUF477)	1468.401252	1417.791491	1216.570642	1339.252483	1263.210328	1349.062467
T449DRAFT_0163	"beta-propeller domain-containing protein, methanol dehydrogenase"	1907.003289	1935.793795	1573.649525	1931.962197	2026.589231	1765.794135
T449DRAFT_0164	hypothetical protein	2071.806042	2186.161575	1852.76779	1928.342596	2157.713839	2116.614162
T449DRAFT_0165	vacuolar-type H(+)-translocating pyrophosphatase	5677.411255	5573.321084	3735.37236	4456.634108	5161.895442	5020.978747
T449DRAFT_0166	hypothetical protein	878.0760458	930.4856199	671.8087882	740.2084671	864.6434517	913.1951606
T449DRAFT_0168	"CRISPR-associated helicase, Cas3 family"	551.958428	556.3728449	446.5892231	495.8853789	534.8845377	562.3751338
T449DRAFT_0169	hypothetical protein	34.8788896	52.75949391	35.61164064	46.14991665	40.24616667	35.08200268
T449DRAFT_0170	CRISPR type I-E/ECOLI-associated protein CasA/Cse1	179.6262815	189.9341781	191.532878	154.7379558	173.9673011	183.9147413
T449DRAFT_0171	CRISPR type I-E/ECOLI-associated protein CasB/Cse2	132.5397805	110.3153055	87.58538643	92.29983331	111.6506559	137.1387377
T449DRAFT_0172	"CRISPR-associated protein, Cse4 family"	241.5363105	281.064213	187.6829709	247.0377891	314.1797527	296.6023863
T449DRAFT_0173	CRISPR-associated protein Cas5	149.9792253	172.6674346	126.0844574	139.3546503	177.8620914	169.0314674
T449DRAFT_0174	"CRISPR-associated protein Cas6/Cse3/CasE, subtype I-E/ECOLI"	148.2352808	155.4006912	128.9718877	123.0664444	167.4759839	140.3280107
T449DRAFT_0175	prevent-host-death family protein	969.633131	824.0073686	752.6568372	796.3122874	602.3942366	885.5547949
T449DRAFT_0176	plasmid stabilization system protein	892.0276016	812.4962062	598.6605534	773.6897792	593.3063926	811.1384256
T449DRAFT_0177	CRISPR-associated endonuclease Cas1	745.5362653	670.5252044	523.587365	585.4705113	732.2205807	701.6400536
T449DRAFT_0178	CRISPR-associated protein Cas2	260.7196998	246.5307261	169.3959122	241.6083872	194.7395162	207.3027431
T449DRAFT_0179	cytochrome c peroxidase	53888.75641	54300.07113	39421.12371	45516.48643	43857.93557	48316.42242
T449DRAFT_0180	Predicted periplasmic lipoprotein (DUF2279)	4792.359431	5030.377929	4721.911053	4712.720901	6465.351936	6064.934099
T449DRAFT_0181	exopolyphosphatase	7188.539147	7268.339734	7351.397599	7420.182678	7426.066883	7670.201495
T449DRAFT_0182	"ABC-type multidrug transport system, ATPase component"	1868.63651	1981.838444	2436.991192	2159.997079	1857.814984	1839.147413
T449DRAFT_0183	"ABC-type polysaccharide/polyol phosphate export systems, permease component"	862.3805454	1120.419798	1236.782654	1051.494179	1329.421764	1132.191905
T449DRAFT_0184	predicted chitinase	829.2456003	935.2819375	937.4523778	865.9896125	1182.717995	959.9711642
T449DRAFT_0185	hypothetical protein	578.1175952	640.7880351	608.2853211	530.2715914	680.2900431	557.0596789
T449DRAFT_0186	predicted phosphohydrolase	1732.608841	1888.789882	1724.758379	1589.004973	2509.543232	2085.784523
T449DRAFT_0187	N-acetylglutamate synthase	6832.774473	6981.51994	6100.177793	6569.576371	7914.213937	7219.450915
T449DRAFT_0188	"toxin-antitoxin system, toxin component, Txe/YoeB family"	1476.249002	1588.540399	1298.381168	1464.128728	1726.690377	1553.175937
T449DRAFT_0189	hypothetical protein	1445.729974	1803.415428	1476.439371	1708.451817	1994.132645	1603.141213
T449DRAFT_0190	dihydroxy-acid dehydratase	15503.66643	15730.96256	14238.88139	15119.07466	18249.68919	15924.03994
T449DRAFT_0191	SH3 domain protein	5056.56702	5826.566655	5377.357736	5686.393652	6145.97913	5692.852253
T449DRAFT_0192	ornithine carbamoyltransferase	6169.203599	6340.731905	6283.04838	6373.213	8111.54998	6552.892864
T449DRAFT_0193	acetylornithine/succinylornithine aminotransferase	9378.933414	9272.241239	9414.947803	9456.208412	10066.73472	9542.304728
T449DRAFT_0194	coproporphyrinogen oxidase	2734.504945	2732.941785	2858.556019	2981.646576	2679.615742	2660.916749
T449DRAFT_0195	hypothetical protein	806.5743221	888.2780248	802.7056295	867.7994132	798.4320162	927.0153435
T449DRAFT_0196	DMT(drug/metabolite transporter) superfamily permease	1081.245578	1004.348911	874.8913875	942.0012399	987.9784786	957.8449822
T449DRAFT_0197	cAMP-binding protein	705.4255422	696.4253196	783.456094	761.0211746	797.1337528	642.1069581
T449DRAFT_0198	hypothetical protein	316.5259231	333.8237069	301.2552302	310.380812	206.4238871	253.0156557
T449DRAFT_0199	predicted periplasmic or secreted lipoprotein	755.9999321	667.6474139	664.108974	818.9347955	270.0387957	494.3373105
T449DRAFT_0200	Outer membrane protein beta-barrel domain/OmpA family	15712.93977	15222.55289	16177.30962	16552.43677	16164.6781	18064.04211
T449DRAFT_0201	competence/damage-inducible protein CinA-like protein	498.7681213	426.8722689	409.0526289	511.2686845	347.9346022	430.551851
T449DRAFT_0202	DNA mismatch repair protein MutS	7164.123924	6504.765968	7339.847878	6981.306019	6887.287555	7095.069269
T449DRAFT_0203	protein-disulfide isomerase	6395.916381	7159.942956	11838.46432	8336.846708	8025.864593	8198.557717
T449DRAFT_0204	RIP metalloprotease RseP	7187.667175	7185.843071	14435.22666	9248.986238	8593.205716	7873.251874
T449DRAFT_0205	1-deoxy-D-xylulose 5-phosphate reductoisomerase	7730.033908	8083.713731	10285.02681	8730.47835	9711.010539	8946.973774
T449DRAFT_0206	CDP-diglyceride synthetase	8383.141116	8818.509592	8735.4392	8812.82428	10744.42824	9648.613827
T449DRAFT_0207	undecaprenyl diphosphate synthase	5503.016807	5705.699451	5383.132597	5653.81724	6941.814619	6459.340857
T449DRAFT_0208	ribosome recycling factor	4598.781594	5385.305433	4532.303128	4816.784438	6704.23241	5926.732271
T449DRAFT_0209	uridylate kinase	7382.116985	8539.363906	7673.827319	8639.083417	11157.27601	9566.755821
T449DRAFT_0210	translation elongation factor Ts	10516.85719	12958.69097	12977.07434	14715.48911	16769.66887	14616.43802
T449DRAFT_0211	ribosomal protein S2	25466.82124	29144.34444	29369.01628	29713.30712	32091.774	31668.41751
T449DRAFT_0212	"methionine aminopeptidase, type I"	2055.23857	2128.605763	2028.901039	2011.593426	2666.633108	2598.19438
T449DRAFT_0213	"UTP--GlnB (protein PII) uridylyltransferase, GlnD"	4965.009935	5420.798184	4801.796625	5019.482111	6400.438764	5748.132984
T449DRAFT_0214	PilZ domain-containing protein	2235.736824	2100.787121	1931.690885	1991.685619	1563.109183	2002.863426
T449DRAFT_0215	"Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family"	1900.899483	1828.35628	1630.435655	1952.774905	1925.324683	1912.500691
T449DRAFT_0216	glutamate synthase family protein	45690.47341	46947.31621	46004.46484	46256.69489	58221.92228	48515.22043
T449DRAFT_0217	glutamate synthase (NADH) small subunit	14534.0333	15499.78005	14420.7895	14396.9642	19803.71053	16877.63256
T449DRAFT_0218	hypothetical protein	766.463599	642.7065622	574.598634	611.7126207	698.4657313	794.1289697
T449DRAFT_0219	"transcriptional regulator, TetR family"	3180.954732	3119.524985	2814.282087	2893.871244	3410.53806	3595.373729
T449DRAFT_0220	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	3435.570626	2894.098057	3249.321589	3002.459283	3082.077409	3308.339162
T449DRAFT_0221	Excinuclease ABC subunit C	3097.245397	2715.675041	2998.115151	2928.257457	2662.738318	3356.178256
T449DRAFT_0222	"DNA topoisomerase IV, B subunit, proteobacterial"	4189.826614	3957.921307	4597.751549	4866.553956	3536.469613	4163.064318
T449DRAFT_0223	Exodeoxyribonuclease VII small subunit	851.9168786	1034.086081	1250.257329	1232.474245	1115.208296	1089.668265
T449DRAFT_0224	geranylgeranyl pyrophosphate synthase	4328.4702	4937.329367	5532.316497	5554.278204	5834.395904	5178.316213
T449DRAFT_0225	NACHT domain	2188.650323	1920.445578	1819.081103	1978.112114	2065.537135	2220.797079
T449DRAFT_0226	hypothetical protein	638.2836797	675.3215221	781.5311404	675.0556436	793.2389625	732.4696923
T449DRAFT_0227	hypothetical protein	517.0795384	499.7762969	632.3472405	536.6058936	558.2532796	596.3940455
T449DRAFT_0228	copper/silver-translocating P-type ATPase	9179.251771	8805.079902	11864.45119	10116.78565	8185.550996	8957.604684
T449DRAFT_0229	copper chaperone	888.5397126	957.3449986	1227.157887	1081.35589	799.7302797	874.923885
T449DRAFT_0230	predicted signal transduction protein containing EAL and modified HD-GYP domains	6504.040939	6620.836854	5987.568011	5990.440162	7741.544899	7114.204907
